links,account,accountingbook,accountingperiod,activitydate,amount,customtype,entity,location,subsidiary,transactiontype,item,quantity,salesrep,department
[],52,1,24,4/30/2022,52239.93,-1,,,11,Journal,,,,
[],52,1,25,5/1/2022,-52239.93,-1,,,11,Journal,,,,
[],52,1,42,4/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,-4364273.98,-1,,,12,Journal,,,,
[],52,1,25,5/1/2022,4364273.98,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,19111.22,-1,,,2,Journal,,,,
[],52,1,25,5/1/2022,-19111.22,-1,,,2,Journal,,,,
[],52,1,39,2/28/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,40,3/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,22,3/31/2022,-4364273.98,-1,,,12,Journal,,,,
[],52,1,24,4/1/2022,4364273.98,-1,,,12,Journal,,,,
[],52,1,40,3/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,42,4/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,25,5/31/2022,-127370.29,-1,,,21,Journal,,,,
[],52,1,25,5/31/2022,473460.43,-1,,,14,Journal,,,,
[],52,1,42,4/30/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,43,5/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,25,5/31/2022,19111.22,-1,,,2,Journal,,,,
[],52,1,25,5/1/2022,-413921.26,-1,,,27,Journal,,,,
[],52,1,25,5/31/2022,19655.92,-1,,,3,Journal,,,,
[],52,1,25,5/31/2022,-4113813.76,-1,,,18,Journal,,,,
[],52,1,44,6/30/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,21,2/28/2022,4062.74,-1,,,28,Journal,,,,
[],52,1,24,4/30/2022,-167027.96,-1,,,4,Journal,,,,
[],52,1,24,4/30/2022,-3633485.78,-1,,,5,Journal,,,,
[],52,1,25,5/1/2022,3633485.78,-1,,,5,Journal,,,,
[],52,1,25,5/1/2022,167027.96,-1,,,4,Journal,,,,
[],52,1,38,1/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,39,2/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,38,1/31/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,25,5/31/2022,-10415.37,-1,,,17,Journal,,,,
[],52,1,39,2/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,46,7/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,25,5/31/2022,436019.74,-1,,,13,Journal,,,,
[],52,1,24,4/30/2022,19655.92,-1,,,3,Journal,,,,
[],52,1,25,5/1/2022,-19655.92,-1,,,3,Journal,,,,
[],52,1,22,3/31/2022,436019.74,-1,,,13,Journal,,,,
[],52,1,24,4/1/2022,-436019.74,-1,,,13,Journal,,,,
[],52,1,52,12/31/2021,-1821573.88,-1,,,12,Journal,,,,
[],52,1,46,7/31/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,47,8/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,47,8/31/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,48,9/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,40,3/31/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,51,11/30/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,52,12/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,52,12/31/2021,82105.82,-1,,,13,Journal,,,,
[],52,1,20,1/31/2022,-4364352.2,-1,,,12,Journal,,,,
[],52,1,21,2/1/2022,4364273.98,-1,,,12,Journal,,,,
[],52,1,47,8/31/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,48,9/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,50,10/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,51,11/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,39,2/28/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,40,3/1/2021,-13651.54,-1,,,11,Journal,,,,
