nullFieldList,name,owner,isOrdered,description,isMatrixOption,scriptId,convertToCustomRecord,isInactive,customValueList,translationsList,internalId
,NetSuite TS Bus Process List,"{""name"": ""Carolina Sanchez"", ""internalId"": ""6"", ""externalId"": null, ""type"": null}",False,,,customlist_ns_ts_bus_process_list,,False,,,252
,NetSuite PS AI Status List,"{""name"": ""Carolina Sanchez"", ""internalId"": ""6"", ""externalId"": null, ""type"": null}",True,,,customlist_ns_ps_action_item_status,,False,,,253
,NetSuite PS Business Process,"{""name"": ""Carolina Sanchez"", ""internalId"": ""6"", ""externalId"": null, ""type"": null}",False,,,customlist_ns_ps_process_list,,False,,,254
,Bill.com Payment Method,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",False,,,customlist_cps_bdc_payment_method,,False,,,267
,Bill.com Sync Status,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_cps_bdc_sync_status,,False,,,268
,API Types,"{""name"": ""Sam  Leiding"", ""internalId"": ""54"", ""externalId"": null, ""type"": null}",True,,,customlist_bf_api_types,,False,,,269
,ACH EP Migration Recordtype,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_ach_ep_migration_recordtype,,False,,,369
,Cash 360 Account Category Type,"{""name"": ""Curtis"", ""internalId"": ""14"", ""externalId"": null, ""type"": null}",True,,,customlist_cash360_accountcategorytype,,False,,,370
,Cash 360 Data to Use,"{""name"": ""Curtis"", ""internalId"": ""14"", ""externalId"": null, ""type"": null}",True,,,customlist_cash360_data_to_use,,False,,,371
,Cash 360 Forecast By,"{""name"": ""Curtis"", ""internalId"": ""14"", ""externalId"": null, ""type"": null}",True,,,customlist_cash360_forecastby,,False,,,372
,Cash 360 Period Type,"{""name"": ""Curtis"", ""internalId"": ""14"", ""externalId"": null, ""type"": null}",True,,,customlist_cash360_period_type,,False,,,373
,EP Log Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_15906_ep_log_type,,False,,,471
